id,external_id,iso,name,nombre_oficial,es_disputado,capital,region,poblacion_ine_2010,poblacion_ine_2020,poblacion_ine_2026,poblacion_ine_2050,poblacion_wiki_2021_agg,area_wiki_km2_agg,densidad_wiki_agg,poblacion_est_2026_agg,area_est_km2_agg,pib_total_est_agg,pib_pc_est_agg,idh_est_agg
42786344B3576998924110,ve_amazonas,VE-Z,Amazonas,Estado Amazonas,false,,,154519,202893,234308,360653,176680,183500,0.96,180000,177617,461.82,2565.676811111111,0.6238010111111111
42786344B73501178505024,ve_anzoategui,VE-B,Anzoátegui,Estado Anzoátegui,false,,,1539920,1777816,1912719,2219110,1807274,42185,42.84,2090000,43300,8530.419999999998,4081.5342444976077,0.6932433004784687
42786344B62999479728563,ve_apure,VE-C,Apure,Estado Apure,false,,,507421,630568,703026,913534,460564,63680,7.23,600000,76500,1378.0500000000002,2296.7445533333334,0.60195224
42786344B2655295482970,ve_aragua,VE-D,Aragua,Estado Aragua,false,,,1710154,1886083,1968881,2197455,2006315,6580,304.91,2220000,7013.999999999999,8941.6,4027.756089189189,0.6914963644144144
42786344B61768817645443,ve_barinas,VE-E,Barinas,Estado Barinas,false,,,799807,961181,1051372,1295717,1123351,35200,31.91,1060000,35200,2592.73,2445.963204716981,0.6122792886792453
42786344B61423155075663,ve_bolivar,VE-F,Bolívar,Estado Bolívar,false,,,1607358,1892987,2053297,2386630,1230396,177761,6.92,2060000,240528,7128.06,3460.2168199029124,0.669549117961165
42786344B39547000593274,ve_carabobo,VE-G,Carabobo,Estado Carabobo,false,,,2299125,2566822,2690095,3020367,2665080,4369,610,2880000,4649.999999999999,18660.059999999998,6479.188523611111,0.7603942767361112
42786344B77282727010945,ve_cojedes,VE-H,Cojedes,Estado Cojedes,false,,,315436,376097,412250,566845,292483,12957,22.57,500000,14800,1097.85,2195.67924,0.603222836
42786344B20573203446638,ve_delta_amacuro,VE-Y,Delta Amacuro,Estado Delta Amacuro,false,,,167247,210408,240605,453259,240264,40200,5.98,240000,40200,479.71,1998.7760833333334,0.5884049625
42786344B65702840901799,ve_distrito_capital,VE-A,Distrito Capital,Distrito Capital,false,,,2070927,2090479,2099223,2066367,2277972,433,5260.91,2200000,433,16493.4,7497,0.788
42786344B50141382807972,ve_falcon,VE-I,Falcón,Estado Falcón,false,,,938503,1093346,1179004,1369065,1137315,24800,45.86,1130000,24800,3733.410000000001,3303.8911769911506,0.6631787938053096
42786344B64923890567976,ve_guarico,VE-J,Guárico,Estado Guárico,false,,,783996,959618,1062368,1304983,886669,57295,15.48,950000,64986,1971.5400000000002,2075.327222105263,0.5940353231578946
42786344B94533756407676,ve_la_guaira,VE-X,La Guaira,Estado La Guaira,false,,,350553,382123,402905,540516,448894,1171,383.34,440000,1497,2562.56,5824,0.75
42786344B49156049988670,ve_lara,VE-K,Lara,Estado Lara,false,,,1842211,2066916,2176398,2473691,2133205,19800,107.74,2220000,19800,9955.169999999998,4484.308913963964,0.7079991752252254
42786344B40280485548078,ve_merida,VE-L,Mérida,Estado Mérida,false,,,885169,1059925,1157090,1358428,1018219,11300,90.11,1010000,11300,3845.3900000000003,3807.3307574257424,0.685389476237624
42786344B65180575927800,ve_miranda,VE-M,Miranda,Estado Bolivariano Miranda,false,,,2965006,3323073,3481983,3682564,3208636,7950,403.6,3730000,7950.000000000001,22752.05,6099.753357908847,0.756184563002681
42786344B38668383698960,ve_monagas,VE-N,Monagas,Estado Monagas,false,,,895726,1031761,1095009,1287326,1210372,28900,41.88,1110000,28900,4488.7,4043.8573675675675,0.6898690765765765
42786344B5537637438530,ve_nueva_esparta,VE-O,Nueva Esparta,Estado Nueva Esparta,false,,,484934,633703,727706,871580,602114,1151,523.12,600000,1150,4259.27,7098.810351666667,0.7759634583333331
42786344B52185535187745,ve_portuguesa,VE-P,Portuguesa,Estado Portuguesa,false,,,913369,1070599,1159398,1388222,1078934,15200,70.98,1070000,15200,2567.11,2399.1571476635513,0.6134086046728972
42786344B70556453045523,ve_sucre,VE-R,Sucre,Estado Sucre,false,,,950915,1107108,1197179,1479359,1117917,11800,94.74,1110000,11800,2519.45,2269.7660855855856,0.6046366180180179
42786344B49171663325386,ve_tachira,VE-S,Táchira,Estado Táchira,false,,,1186016,1279248,1331187,1569196,1301260,10566,123.16,1370000,11100,5288.580000000001,3860.2718788321167,0.6869482781021898
42786344B81831268549679,ve_trujillo,VE-T,Trujillo,Estado Trujillo,false,,,744874,880815,954472,1109799,879226,7302,120.41,890000,7400,2140.18,2404.6935101123595,0.6140952808988764
42786344B9474541360511,ve_yaracuy,VE-U,Yaracuy,Estado Yaracuy,false,,,629674,752895,823385,1004670,756550,7100,106.56,780000,7100,2553.57,3273.7761025641025,0.6632455756410257
42786344B42509353156725,ve_zulia,VE-V,Zulia,Estado Zulia,false,,,3779485,4366634,4678093,5577967,4341257,47860,90.71,4950000,63100,31143.339999999997,6291.585252727273,0.760902505858586
42786344B77541452473448,ve_dependencias_federales,VE-W,Dependencias Federales,Dependencias Federales,false,,,2066,2325,2541,3418,,,,,,,,
92452058B25675040918260,ve_guayana_esequiba,VE-GE,Guayana Esequiba,Estado Guayana Esequiba,true,Tumeremo,Guayana,,,,,,,,240000,40200,479.71,1998.7760833333334,0.5884049625
